1515814479.298	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/container-jersey2-jar-with-dependencies.jar'.
1515814479.312	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	container-jersey2	info	BundleEvent INSTALLED
1515814479.312	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'container-search-and-docproc-jar-with-dependencies.jar'.
1515814479.313	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/container-search-and-docproc-jar-with-dependencies.jar'.
1515814479.351	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	container-search-and-docproc	info	BundleEvent INSTALLED
1515814479.351	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'docprocs-jar-with-dependencies.jar'.
1515814479.351	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/docprocs-jar-with-dependencies.jar'.
1515814479.355	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	docprocs	info	BundleEvent INSTALLED
1515814479.355	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'container-disc' requires install from 'jdisc_http_service-jar-with-dependencies.jar'.
1515814479.355	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/jdisc_http_service-jar-with-dependencies.jar'.
1515814479.365	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	jdisc_http_service	info	BundleEvent INSTALLED
1515814479.365	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'asm-debug-all-5.0.3.jar'.
1515814479.365	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/asm-debug-all-5.0.3.jar'.
1515814479.370	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	org.objectweb.asm.all.debug	info	BundleEvent INSTALLED
1515814479.370	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	OSGi bundle 'jdisc_http_service' requires install from 'javax.servlet-api-3.1.0.jar'.
1515814479.370	tj1-s-staging-rec06.kscn	32333/1	jdisc/configserver	/com.yahoo.jdisc.core.FelixFramework	debug	Installing OSGi bundle from 'file:/home/work/vespa/lib/jars/javax.servlet-api-3.1.0.jar'.
1515814479.371	tj1-s-staging-rec06.kscn	32333	jdisc/configserver	javax.servlet-api	info	BundleEvent INSTALLED
